id,text,category,priority
2264,Multiple potholes on Sapna Sangeeta Road road causing vehicle damage Please resolve urgently.,Roads & Potholes,Medium
2265,Short circuit sparks from street light pole at Bengali Square,Street Lights,High
2266,Garbage segregation not done by vehicle at Bypass Road This is causing great inconvenience.,Sanitation,Medium
2267,Water supply only for 5 hours causing inconvenience Kanadiya Road,Water Issues,Medium
2268,Speed breaker broken uneven causing discomfort at Sukhliya This is causing great inconvenience.,Roads & Potholes,Medium
2269,Suggest road beautification drive for Gandhi Nagar main road Please resolve urgently.,Roads & Potholes,Low
2270,Drainage completely blocked sewage backup flooding Bhawarkua,Sanitation,High
2271,Short circuit sparks from street light pole at Rau,Street Lights,High
2272,Road completely submerged under water impassable Treasure Island Area Please take immediate action.,Roads & Potholes,High
2273,Open defecation near Scheme 54 school health emergency Residents are suffering.,Sanitation,High
2274,Footpath tiles broken uneven at Rau main road Residents are suffering.,Roads & Potholes,Medium
2275,Request cleaning of Nanda Nagar park pond water body Please resolve urgently.,Sanitation,Low
2276,Suggest zebra crossing painting at Tilak Nagar junction Please take immediate action.,Roads & Potholes,Low
2277,Short circuit sparks from street light pole at Sanyogitaganj Kindly look into this matter.,Street Lights,High
2278,Sewage entering residential area Kanadiya Road disease outbreak risk Kindly look into this matter.,Sanitation,High
2279,Massive crater on main road vehicles damaged at Bypass Road,Roads & Potholes,High
2280,Pothole near Airport Road school children at risk daily,Roads & Potholes,Medium
2281,Transformer oil leaking fire hazard at Nanda Nagar substation Please take immediate action.,Electricity,High
2282,Request reflector posts on Bombay Hospital Road road curve,Roads & Potholes,Low
2283,Loose wire hanging from pole at Nehru Nagar needs fixing This has been ignored for long.,Electricity,Medium
2284,Suggest cycle track along Sukhliya main road Please take immediate action.,Roads & Potholes,Low
2285,Generator backup not starting during cuts at Ring Road,Electricity,Medium
2286,Dustbin overflowing garbage spilling on road at Ring Road Please take immediate action.,Sanitation,Medium
2287,Transformer blast fire sparks at Agrawal Nagar urgent needed Residents are suffering.,Electricity,High
2288,Suggest LED replacement for old lights at Bengali Square,Electricity,Low
2289,Dustbin overflowing garbage spilling on road at Scheme 54 Residents are suffering.,Sanitation,Medium
2290,Entire LIG Colony colony dark for 7 nights crime risk high,Street Lights,High
2291,Loose wire hanging from pole at Race Course Road needs fixing Please resolve urgently.,Electricity,Medium
2292,Suggest smart street lighting for Gandhi Nagar main road Please resolve urgently.,Street Lights,Low
2293,Stray wire sparking on road near Marimata Chowk school danger Kindly look into this matter.,Electricity,High
2294,Water tanker delayed by 1 hours daily at Bombay Hospital Road,Water Issues,Medium
2295,Suggest road beautification drive for Regal Square main road,Roads & Potholes,Low
2296,Road surface worn out needs resurfacing at Old Palasia Please take immediate action.,Roads & Potholes,Medium
2297,Road divider collapsed blocking lanes at Regal Square highway,Roads & Potholes,High
2298,Street light not working since 1 days at Marimata Chowk This is causing great inconvenience.,Street Lights,Medium
2299,Request rumble strips near Chandan Nagar school zone,Roads & Potholes,Low
2300,High tension wire snapped fallen on road Gandhi Nagar emergency Residents are suffering.,Electricity,High
2301,New street light requested for dark lane at Pardesipura,Street Lights,Medium
2302,Power cut for 7 hours continuously in Nipania no supply,Electricity,High
2303,Leaking water tap wasting water on Bengali Square main road Please resolve urgently.,Water Issues,Medium
2304,Suggest water audit for Treasure Island Area ward reduce wastage Residents are suffering.,Water Issues,Low
2305,High voltage wire touching tree branches at Agrawal Nagar risk,Electricity,High
2306,Massive crater on main road vehicles damaged at Polo Ground,Roads & Potholes,High
2307,Water connection pipe broken needs replacement at Scheme 140 Residents are suffering.,Water Issues,Medium
2308,Request new street light installation at Nehru Nagar lane,Electricity,Low
2309,Half the street lights in Rajendra Nagar colony not working,Street Lights,Medium
2310,High mast light tower tilting about to fall at Scheme 78 Please resolve urgently.,Street Lights,High
2311,Road shoulder eroded narrow dangerous at Pardesipura highway This has been ignored for long.,Roads & Potholes,Medium
2312,Broken light pole fallen on road blocking traffic at Marimata Chowk This is causing great inconvenience.,Street Lights,High
2313,Suggest composting unit for Nehru Nagar wet waste This has been ignored for long.,Sanitation,Low
2314,Request additional dustbin near MG Road bus stop,Sanitation,Low
2315,Road completely washed out flooded impassable at Scheme 54 This has been ignored for long.,Roads & Potholes,High
2316,All street lights not working Regal Square area completely dark Kindly look into this matter.,Street Lights,High
2317,Road completely washed out flooded impassable at Shivaji Nagar This has been ignored for long.,Roads & Potholes,High
2318,Water supply timing irregular in Regal Square ward,Water Issues,Medium
2319,Potholes on Rajiv Gandhi Square road causing tyre punctures daily Kindly look into this matter.,Roads & Potholes,Medium
2320,Water supply only for 14 hours causing inconvenience Sukhliya,Water Issues,Medium
2321,Water tanker not coming since 10 days Rajiv Gandhi Square residents suffering This has been ignored for long.,Water Issues,High
2322,All street lights not working Malharganj area completely dark This is causing great inconvenience.,Street Lights,High
2323,Suggest lights on Malharganj walking track path This has been ignored for long.,Street Lights,Low
2324,Sewage entering residential area Marimata Chowk disease outbreak risk,Sanitation,High
2325,Short circuit sparks from street light pole at Scheme 140 Kindly look into this matter.,Street Lights,High
2326,Drainage water stagnating mosquito breeding at Race Course Road,Sanitation,Medium
2327,Street light timer wrong on at daytime at Sector 12,Street Lights,Medium
2328,Request rainwater harvesting system for Residency Area colony,Water Issues,Low
2329,Water quality slightly bad odour in Shivaji Nagar supply This has been ignored for long.,Water Issues,Medium
2330,Street light not working since 6 days at Bengali Square road,Electricity,Medium
2331,Electric pole tilting about to fall on road at Dewas Naka,Electricity,High
2332,Request reflector posts on LIG Colony road curve,Roads & Potholes,Low
2333,Leaking water tap wasting water on Bypass Road main road Kindly look into this matter.,Water Issues,Medium
2334,Garbage not collected since 2 days in Rajendra Nagar colony,Sanitation,Medium
2335,Water quality slightly bad odour in Scheme 140 supply Please resolve urgently.,Water Issues,Medium
2336,No potable water available entire Bhawarkua ward for 14 days,Water Issues,High
2337,Request light in Bhawarkua park for evening walkers Residents are suffering.,Electricity,Low
2338,Suggest zebra crossing painting at Scheme 140 junction Residents are suffering.,Roads & Potholes,Low
2339,Dustbin overflowing garbage spilling on road at South Tukoganj Please resolve urgently.,Sanitation,Medium
2340,Suggest water conservation awareness in Marimata Chowk ward This is causing great inconvenience.,Water Issues,Low
2341,Power fluctuation damaging appliances in Nanda Nagar homes This has been ignored for long.,Electricity,Medium
2342,Suggest CCTV with lights at Annapurna Road entry point Please resolve urgently.,Street Lights,Low
2343,Water supply timing irregular in Bengali Square ward Residents are suffering.,Water Issues,Medium
2344,Request new borewell installation in Race Course Road colony,Water Issues,Low
2345,Meter reading not done for 14 months in Old Palasia,Electricity,Medium
2346,Footpath tiles broken uneven at Scheme 140 main road Kindly look into this matter.,Roads & Potholes,Medium
2347,Road surface worn out needs resurfacing at Dewas Naka,Roads & Potholes,Medium
2348,Drainage water stagnating mosquito breeding at Sanyogitaganj Residents are suffering.,Sanitation,Medium
2349,Suggest LED replacement for old lights at Scheme 54,Electricity,Low
2350,Massive crater on main road vehicles damaged at Khajrana This has been ignored for long.,Roads & Potholes,High
2351,High tension wire snapped fallen on road Lasudia emergency This is causing great inconvenience.,Electricity,High
2352,Construction debris dumped illegally at Scheme 54 road Residents are suffering.,Sanitation,Medium
2353,Request additional dustbin near Khajrana bus stop,Sanitation,Low
2354,Road completely submerged under water impassable Vijay Nagar Residents are suffering.,Roads & Potholes,High
2355,Request cleaning of AB Road park pond water body Please resolve urgently.,Sanitation,Low
2356,Street light not working since 5 days at Dewas Naka This has been ignored for long.,Street Lights,Medium
2357,No water supply for 10 days in entire Sukhliya colony This is causing great inconvenience.,Water Issues,High
2358,Suggest smart meters installation in Shivaji Nagar ward,Electricity,Low
2359,Request additional street light at LIG Colony dark corner,Electricity,Low
2360,Sewage entering residential area Sanyogitaganj disease outbreak risk,Sanitation,High
2361,Open drain overflowing sewage water entering homes at Sector 12 Kindly look into this matter.,Sanitation,High
2362,Suggest water audit for Old Palasia ward reduce wastage Please take immediate action.,Water Issues,Low
2363,Electric short circuit fire sparks from box at Treasure Island Area Kindly look into this matter.,Electricity,High
2364,Request solar street light for Musakhedi colony lane,Street Lights,Low
2365,Loose wire hanging from pole at Musakhedi needs fixing,Electricity,Medium
2366,Massive crater on main road vehicles damaged at Bombay Hospital Road Kindly look into this matter.,Roads & Potholes,High
2367,Broken water main causing massive flooding near Nanda Nagar,Water Issues,High
2368,Water supply only for 1 hours causing inconvenience Agrawal Nagar This has been ignored for long.,Water Issues,Medium
2369,Suggest composting unit for Annapurna Road wet waste Residents are suffering.,Sanitation,Low
2370,Loose wire hanging from pole at Treasure Island Area needs fixing This is causing great inconvenience.,Electricity,Medium
2371,Request public toilet construction near Race Course Road market This has been ignored for long.,Sanitation,Low
2372,Water connection pipe broken needs replacement at Bombay Hospital Road Please resolve urgently.,Water Issues,Medium
2373,Transformer blast fire sparks at Airport Road urgent needed,Electricity,High
2374,Request light timer adjustment for Bhanwarkua street lights,Street Lights,Low
2375,Underground pipeline leaking water gushing out at Polo Ground,Water Issues,High
2376,Open garbage burning smoke nuisance near Bypass Road Kindly look into this matter.,Sanitation,Medium
2377,Dustbin overflowing garbage spilling on road at Bhanwarkua Kindly look into this matter.,Sanitation,Medium
2378,Request new street light installation at Airport Road lane,Electricity,Low
2379,Road marking lines faded invisible at AB Road junction This is causing great inconvenience.,Roads & Potholes,Medium
2380,Flickering street light disturbing residents at Palasia This is causing great inconvenience.,Street Lights,Medium
2381,Request new borewell installation in Palasia colony,Water Issues,Low
2382,Suggest lights on Bangali Chowk walking track path Kindly look into this matter.,Street Lights,Low
2383,Suggest parking area demarcation at Scheme 140 market Residents are suffering.,Roads & Potholes,Low
2384,Drainage water stagnating mosquito breeding at MG Road Please resolve urgently.,Sanitation,Medium
2385,Garbage not collected since 14 days in Rajendra Nagar colony Kindly look into this matter.,Sanitation,Medium
2386,Garbage piling up for 3 days no collection Bangali Chowk,Sanitation,Medium
2387,Road marking lines faded invisible at Agrawal Nagar junction This is causing great inconvenience.,Roads & Potholes,Medium
2388,Underground pipeline leaking water gushing out at Residency Area This is causing great inconvenience.,Water Issues,High
2389,Flickering street light disturbing residents at Sapna Sangeeta Road,Street Lights,Medium
2390,Request additional dustbin near Bijalpur bus stop,Sanitation,Low
2391,Suggest energy audit for Nipania ward buildings,Electricity,Low
2392,Toxic waste dumped illegally near Scheme 54 water body This is causing great inconvenience.,Sanitation,High
2393,Pipe leakage on road wasting water daily at Rau,Water Issues,Medium
2394,Suggest smart meters installation in Sapna Sangeeta Road ward,Electricity,Low
2395,Request speed breaker installation near Regal Square school,Roads & Potholes,Low
2396,Water supply timing irregular in Bengali Square ward Residents are suffering.,Water Issues,Medium
2397,Suggest cycle track along Sector 12 main road Please resolve urgently.,Roads & Potholes,Low
2398,Public toilet dirty unhygienic condition at Scheme 78,Sanitation,Medium
2399,Suggest additional water tap point near Bypass Road park Kindly look into this matter.,Water Issues,Low
2400,Contaminated dirty yellow water supply in Palasia area This is causing great inconvenience.,Water Issues,High
2401,Large pothole caused serious accident injury at Marimata Chowk Residents are suffering.,Roads & Potholes,High
2402,Request street light on newly built road at Ring Road Please resolve urgently.,Street Lights,Low
2403,Drainage completely blocked sewage backup flooding Regal Square Kindly look into this matter.,Sanitation,High
2404,Request additional dustbin near Bhawarkua bus stop,Sanitation,Low
2405,Suggest festive lighting plan for Annapurna Road market area Please take immediate action.,Street Lights,Low
2406,Footpath tiles broken uneven at Bombay Hospital Road main road,Roads & Potholes,Medium
2407,Frequent power cuts 5 times daily affecting Bangali Chowk This has been ignored for long.,Electricity,Medium
2408,Water meter not working billing issue at Sanyogitaganj colony This is causing great inconvenience.,Water Issues,Medium
2409,High voltage wire touching tree branches at Residency Area risk This has been ignored for long.,Electricity,High
2410,High tension wire snapped fallen on road Shivaji Nagar emergency This has been ignored for long.,Electricity,High
2411,Drainage water stagnating mosquito breeding at Sector 12 Kindly look into this matter.,Sanitation,Medium
2412,Road completely submerged under water impassable Bombay Hospital Road,Roads & Potholes,High
2413,Raw sewage flowing on street children playing Musakhedi Please take immediate action.,Sanitation,High
2414,Request traffic mirror at blind corner near Chandan Nagar,Roads & Potholes,Low
2415,Road completely broken vehicles falling in crater at Residency Area,Roads & Potholes,High
2416,Water pipeline burst near South Tukoganj road flooded no supply This has been ignored for long.,Water Issues,High
2417,Suggest water conservation awareness in Rau ward Kindly look into this matter.,Water Issues,Low
2418,Water logging on road after rain at Bombay Hospital Road for hours Residents are suffering.,Roads & Potholes,Medium
2419,Flickering street light disturbing residents at MG Road,Street Lights,Medium
2420,Water pipeline burst near Malharganj road flooded no supply,Water Issues,High
2421,Road divider collapsed blocking lanes at Residency Area highway This has been ignored for long.,Roads & Potholes,High
2422,Request to increase water supply timing at Old Palasia,Water Issues,Low
2423,Street lights dim not bright enough at Vijay Nagar road,Street Lights,Medium
2424,Pipe leakage on road wasting water daily at Geeta Bhawan Residents are suffering.,Water Issues,Medium
2425,Request speed breaker installation near Khajrana school,Roads & Potholes,Low
2426,Request traffic mirror at blind corner near Rajendra Nagar,Roads & Potholes,Low
2427,Suggest composting unit for Shivaji Nagar wet waste,Sanitation,Low
2428,High tension wire snapped fallen on road Treasure Island Area emergency,Electricity,High
2429,Request dog shelter near Dewas Naka for stray animals Please take immediate action.,Sanitation,Low
2430,Potholes on Lasudia road causing tyre punctures daily,Roads & Potholes,Medium
2431,Electricity bill very high despite less usage in Musakhedi This is causing great inconvenience.,Electricity,Medium
2432,Toxic waste dumped illegally near Bombay Hospital Road water body Please resolve urgently.,Sanitation,High
2433,Pothole near Shivaji Nagar school children at risk daily Kindly look into this matter.,Roads & Potholes,Medium
2434,Electric meter box burnt fire risk in Palasia building Please take immediate action.,Electricity,High
2435,Garbage dump fire toxic smoke affecting Sapna Sangeeta Road residents Please take immediate action.,Sanitation,High
2436,Pothole near Scheme 78 school children at risk daily Please take immediate action.,Roads & Potholes,Medium
2437,Massive crater on main road vehicles damaged at Rajiv Gandhi Square Please take immediate action.,Roads & Potholes,High
2438,Overhead wire hanging low touching vehicles at Agrawal Nagar,Electricity,High
2439,Open drain overflowing sewage water entering homes at Bangali Chowk,Sanitation,High
2440,Electric meter box burnt fire risk in Bhawarkua building,Electricity,High
2441,New street light requested for dark lane at Kanadiya Road Please resolve urgently.,Street Lights,Medium
2442,All street lights not working MG Road area completely dark,Street Lights,High
2443,Road divider collapsed blocking lanes at Tilak Nagar highway,Roads & Potholes,High
2444,Request light in Gandhi Nagar park for evening walkers Please take immediate action.,Electricity,Low
2445,Request new street light installation at Race Course Road lane This is causing great inconvenience.,Electricity,Low
2446,Suggest lights on South Tukoganj walking track path This has been ignored for long.,Street Lights,Low
2447,Road marking lines faded invisible at Nanda Nagar junction Residents are suffering.,Roads & Potholes,Medium
2448,Road cave in sinkhole formed at Bengali Square near main market,Roads & Potholes,High
2449,CCTV cameras not working due to power issue at Scheme 140 This is causing great inconvenience.,Electricity,Medium
2450,Drainage water stagnating mosquito breeding at Scheme 54,Sanitation,Medium
2451,Construction debris dumped illegally at Bombay Hospital Road road Residents are suffering.,Sanitation,Medium
2452,Loose wire hanging from pole at Malharganj needs fixing,Electricity,Medium
2453,High voltage wire touching tree branches at Nipania risk,Electricity,High
2454,Rats infestation in Nehru Nagar colony garbage issue This is causing great inconvenience.,Sanitation,Medium
2455,Garbage not collected since 6 days in Palasia colony,Sanitation,Medium
2456,Street light pole hit by vehicle sparking dangerously Tilak Nagar,Street Lights,High
2457,Garbage dump fire toxic smoke affecting Polo Ground residents Please take immediate action.,Sanitation,High
2458,Electricity supply unstable voltage fluctuation Bengali Square Residents are suffering.,Electricity,Medium
2459,Suggest awareness campaign for Nehru Nagar cleanliness,Sanitation,Low
2460,Suggest smart street lighting for Khajrana main road,Street Lights,Low
2461,Road surface worn out needs resurfacing at Bengali Square Please resolve urgently.,Roads & Potholes,Medium
2462,Suggest parking area demarcation at AB Road market Kindly look into this matter.,Roads & Potholes,Low
2463,Deep trench dug left open no barrier at Bangali Chowk road This has been ignored for long.,Roads & Potholes,High
2464,Water quality slightly bad odour in MG Road supply,Water Issues,Medium
2465,Water logging on road after rain at Bangali Chowk for hours,Roads & Potholes,Medium
2466,Suggest smart meters installation in Bijalpur ward Please resolve urgently.,Electricity,Low
2467,Road completely broken vehicles falling in crater at MG Road,Roads & Potholes,High
2468,Suggest underground cabling for Bypass Road to avoid poles Please resolve urgently.,Electricity,Low
2469,Request to increase water supply timing at Juni Indore,Water Issues,Low
2470,Chemical waste dumped in South Tukoganj drain water contaminated This has been ignored for long.,Sanitation,High
2471,Request solar street light for Residency Area colony lane,Street Lights,Low
2472,Water supply completely stopped since 6 days in South Tukoganj This is causing great inconvenience.,Water Issues,High
2473,Suggest LED replacement for old lights at Scheme 78 Please resolve urgently.,Electricity,Low
2474,New street light requested for dark lane at Scheme 78,Street Lights,Medium
2475,Frequent power cuts 7 times daily affecting Bhanwarkua Residents are suffering.,Electricity,Medium
2476,Water tanker delayed by 4 hours daily at Scheme 140 Please take immediate action.,Water Issues,Medium
2477,Electric pole fallen blocking entire road at Rajiv Gandhi Square,Electricity,High
2478,Suggest parking area demarcation at Kanadiya Road market This is causing great inconvenience.,Roads & Potholes,Low
2479,Request reflector posts on Vijay Nagar road curve This is causing great inconvenience.,Roads & Potholes,Low
2480,Request solar street light for Malharganj colony lane,Street Lights,Low
2481,Request additional dustbin near Scheme 54 bus stop,Sanitation,Low
2482,High mast light tower tilting about to fall at Marimata Chowk,Street Lights,High
2483,Footpath tiles broken uneven at Khajrana main road This has been ignored for long.,Roads & Potholes,Medium
2484,Transformer blast fire sparks at Polo Ground urgent needed This has been ignored for long.,Electricity,High
2485,Suggest monthly cleaning drive for Tilak Nagar ward,Sanitation,Low
2486,Generator backup not starting during cuts at Scheme 78,Electricity,Medium
2487,Garbage not collected since 7 days in Nipania colony Please take immediate action.,Sanitation,Medium
2488,Request street light on newly built road at Palasia,Street Lights,Low
2489,Generator backup not starting during cuts at Polo Ground,Electricity,Medium
2490,Open manhole cover missing accident risk at Nipania road,Roads & Potholes,High
2491,Pipe leakage on road wasting water daily at Shivaji Nagar Please resolve urgently.,Water Issues,Medium
2492,Dustbin overflowing garbage spilling on road at Bangali Chowk,Sanitation,Medium
2493,Transformer blast fire sparks at Kanadiya Road urgent needed,Electricity,High
2494,High tension wire snapped fallen on road Regal Square emergency,Electricity,High
2495,Water meter not working billing issue at Bombay Hospital Road colony Please resolve urgently.,Water Issues,Medium
2496,Request decorative lights for Treasure Island Area main market,Street Lights,Low
2497,Road marking lines faded invisible at Pardesipura junction Please take immediate action.,Roads & Potholes,Medium
2498,Request tree planting drive in Shivaji Nagar colony,Sanitation,Low
2499,Sewage mixing in drinking water supply at Ring Road Please resolve urgently.,Water Issues,High
2500,Electricity bill very high despite less usage in Sanyogitaganj,Electricity,Medium
2501,Pothole near Nanda Nagar school children at risk daily Please take immediate action.,Roads & Potholes,Medium
2502,Loose wire hanging from pole at AB Road needs fixing This has been ignored for long.,Electricity,Medium
2503,Electric short circuit fire sparks from box at Scheme 140,Electricity,High
2504,Meter reading not done for 5 months in Kanadiya Road,Electricity,Medium
2505,Entire Geeta Bhawan colony dark for 7 nights crime risk high Please take immediate action.,Street Lights,High
2506,Request decorative lights for Nanda Nagar main market,Street Lights,Low
2507,Garbage not collected since 6 days in Race Course Road colony Residents are suffering.,Sanitation,Medium
2508,Footpath tiles broken uneven at Annapurna Road main road This has been ignored for long.,Roads & Potholes,Medium
2509,Electric meter box burnt fire risk in Musakhedi building Kindly look into this matter.,Electricity,High
2510,Road cave in sinkhole formed at Marimata Chowk near main market Please resolve urgently.,Roads & Potholes,High
2511,Construction debris dumped illegally at LIG Colony road,Sanitation,Medium
2512,Road divider collapsed blocking lanes at Regal Square highway Please take immediate action.,Roads & Potholes,High
2513,Suggest LED replacement for old lights at Nehru Nagar,Electricity,Low
2514,Suggest solar lights for Palasia park pathway Please resolve urgently.,Electricity,Low
2515,Suggest smart meters installation in Scheme 54 ward Kindly look into this matter.,Electricity,Low
2516,Sewage overflow flooding entire Rajiv Gandhi Square road since 7 days Please resolve urgently.,Sanitation,High
2517,Massive deep pothole causing accidents at Annapurna Road highway,Roads & Potholes,High
2518,Request road name sign board at Bijalpur crossing,Roads & Potholes,Low
2519,Stray wire sparking on road near Chandan Nagar school danger,Electricity,High
2520,Street light timer wrong on at daytime at Ring Road,Street Lights,Medium
2521,Water supply timing irregular in Geeta Bhawan ward Residents are suffering.,Water Issues,Medium
2522,Half the street lights in Geeta Bhawan colony not working,Street Lights,Medium
2523,Pothole near Bijalpur school children at risk daily Kindly look into this matter.,Roads & Potholes,Medium
2524,Street light pole rusted leaning at MG Road needs repair,Street Lights,Medium
2525,Suggest monthly cleaning drive for Rau ward,Sanitation,Low
2526,Water tanker delayed by 2 hours daily at Bypass Road Residents are suffering.,Water Issues,Medium
2527,Leaking water tap wasting water on Bombay Hospital Road main road This has been ignored for long.,Water Issues,Medium
2528,Raw sewage flowing on street children playing Juni Indore,Sanitation,High
2529,Transformer oil leaking fire hazard at Residency Area substation,Electricity,High
2530,Suggest smart meters installation in Polo Ground ward,Electricity,Low
2531,Suggest awareness campaign for Gandhi Nagar cleanliness,Sanitation,Low
2532,Street light pole rusted leaning at Sanyogitaganj needs repair,Street Lights,Medium
2533,Suggest festive lighting plan for MG Road market area,Street Lights,Low
2534,Suggest no plastic zone declaration for Polo Ground market Residents are suffering.,Sanitation,Low
2535,Request reflector posts on Geeta Bhawan road curve Residents are suffering.,Roads & Potholes,Low
2536,Dirty black water coming from taps in Scheme 54 since 7 days This is causing great inconvenience.,Water Issues,High
2537,Large pothole caused serious accident injury at Tilak Nagar Kindly look into this matter.,Roads & Potholes,High
2538,Pipeline leaking minor dripping near Bhanwarkua chowk Please resolve urgently.,Water Issues,Medium
2539,Construction debris dumped illegally at Sanyogitaganj road Please take immediate action.,Sanitation,Medium
2540,Sewage overflow flooding entire Pardesipura road since 10 days Please take immediate action.,Sanitation,High
2541,Suggest parking area demarcation at Residency Area market Please resolve urgently.,Roads & Potholes,Low
2542,Suggest smart meters installation in Ring Road ward Kindly look into this matter.,Electricity,Low
2543,Massive deep pothole causing accidents at Rau highway,Roads & Potholes,High
2544,Request light in Bhanwarkua park for evening walkers Residents are suffering.,Electricity,Low
2545,Water quality slightly bad odour in Airport Road supply Please take immediate action.,Water Issues,Medium
2546,Open garbage burning smoke nuisance near Bypass Road Please resolve urgently.,Sanitation,Medium
2547,Speed breaker broken uneven causing discomfort at Marimata Chowk This has been ignored for long.,Roads & Potholes,Medium
2548,Deep trench dug left open no barrier at Bombay Hospital Road road Residents are suffering.,Roads & Potholes,High
2549,Electric short circuit fire sparks from box at Polo Ground Kindly look into this matter.,Electricity,High
2550,Open manhole cover missing accident risk at Pardesipura road Please resolve urgently.,Roads & Potholes,High
2551,Pothole near Treasure Island Area school children at risk daily This is causing great inconvenience.,Roads & Potholes,Medium
2552,Entire Nanda Nagar colony dark for 2 nights crime risk high,Street Lights,High
2553,Water supply only for 6 hours causing inconvenience Regal Square Residents are suffering.,Water Issues,Medium
2554,Street light not working since 5 days at Scheme 140 road Kindly look into this matter.,Electricity,Medium
2555,Meter reading not done for 1 months in Khajrana,Electricity,Medium
2556,Water logging on road after rain at Sanyogitaganj for hours,Roads & Potholes,Medium
2557,Suggest LED replacement for old lights at Sapna Sangeeta Road,Electricity,Low
2558,Street lights dim not bright enough at Airport Road road,Street Lights,Medium
2559,High mast light tower tilting about to fall at Airport Road Please resolve urgently.,Street Lights,High
2560,Request cleaning of Marimata Chowk park pond water body,Sanitation,Low
2561,Main pipeline burst water flooding Rau road completely,Water Issues,High
2562,Request additional street light at Shivaji Nagar dark corner,Electricity,Low
2563,Street light pole rusted leaning at Palasia needs repair,Street Lights,Medium
2564,Sewage pipeline burst waste water flooding Bhawarkua area,Sanitation,High
2565,Old pipeline replacement request for Residency Area lane,Water Issues,Low
2566,Suggest CCTV with lights at South Tukoganj entry point Please resolve urgently.,Street Lights,Low
2567,Leaking water tap wasting water on Chandan Nagar main road,Water Issues,Medium
2568,Transformer blast fire sparks at Race Course Road urgent needed,Electricity,High
2569,Electric short circuit fire sparks from box at Scheme 78 Kindly look into this matter.,Electricity,High
2570,Rats infestation in Dewas Naka colony garbage issue,Sanitation,Medium
2571,Main pipeline burst water flooding Malharganj road completely Please resolve urgently.,Water Issues,High
2572,Suggest solar lights for LIG Colony park pathway Please take immediate action.,Electricity,Low
2573,Request rainwater harvesting system for Residency Area colony,Water Issues,Low
2574,Request tree planting drive in Bangali Chowk colony,Sanitation,Low
2575,Pipe leakage on road wasting water daily at Vijay Nagar This is causing great inconvenience.,Water Issues,Medium
2576,Request road name sign board at Juni Indore crossing,Roads & Potholes,Low
2577,Water bill correction request for Tilak Nagar address,Water Issues,Low
2578,Suggest underground cabling for Juni Indore to avoid poles,Electricity,Low
2579,Request public toilet construction near Nehru Nagar market This has been ignored for long.,Sanitation,Low
2580,Street light pole hit by vehicle sparking dangerously Nehru Nagar This has been ignored for long.,Street Lights,High
2581,Broken water main causing massive flooding near Gandhi Nagar Please resolve urgently.,Water Issues,High
2582,Suggest energy audit for Sector 12 ward buildings This is causing great inconvenience.,Electricity,Low
2583,Sewage mixing in drinking water supply at Sanyogitaganj Please resolve urgently.,Water Issues,High
2584,Water logging on road after rain at Race Course Road for hours,Roads & Potholes,Medium
2585,Contaminated dirty yellow water supply in Musakhedi area This is causing great inconvenience.,Water Issues,High
2586,Request road widening for Annapurna Road narrow lane,Roads & Potholes,Low
2587,Sewage water mixed in drinking water AB Road disease risk,Water Issues,High
2588,Electric pole fallen blocking entire road at Agrawal Nagar,Electricity,High
2589,Garbage segregation not done by vehicle at Palasia Please resolve urgently.,Sanitation,Medium
2590,Request light timer adjustment for Chandan Nagar street lights,Street Lights,Low
2591,Request tree planting drive in Bengali Square colony This is causing great inconvenience.,Sanitation,Low
2592,Suggest dustbin at Bangali Chowk park entrance gate,Sanitation,Low
2593,Road completely washed out flooded impassable at Gandhi Nagar This is causing great inconvenience.,Roads & Potholes,High
2594,Road repairs done poorly broken again within 6 days Please take immediate action.,Roads & Potholes,Medium
2595,Rats infestation in Chandan Nagar colony garbage issue,Sanitation,Medium
2596,Broken footpath Sapna Sangeeta Road elderly people falling risk This is causing great inconvenience.,Roads & Potholes,Medium
2597,Request road name sign board at Sapna Sangeeta Road crossing Kindly look into this matter.,Roads & Potholes,Low
2598,Speed breaker broken uneven causing discomfort at Gandhi Nagar,Roads & Potholes,Medium
2599,Multiple potholes on Dewas Naka road causing vehicle damage,Roads & Potholes,Medium
2600,Raw sewage flowing on street children playing Nanda Nagar,Sanitation,High
2601,Suggest water conservation awareness in Nehru Nagar ward,Water Issues,Low
2602,Rats infestation in Shivaji Nagar colony garbage issue,Sanitation,Medium
2603,Stray wire sparking on road near Sapna Sangeeta Road school danger Please resolve urgently.,Electricity,High
2604,Open defecation near Nipania school health emergency,Sanitation,High
2605,Deep trench dug left open no barrier at Bangali Chowk road,Roads & Potholes,High
2606,Water quality slightly bad odour in Bengali Square supply,Water Issues,Medium
2607,Electric meter box burnt fire risk in Old Palasia building Please resolve urgently.,Electricity,High
2608,Street light pole rusted leaning at Gandhi Nagar needs repair Please resolve urgently.,Street Lights,Medium
2609,Request speed breaker installation near South Tukoganj school This is causing great inconvenience.,Roads & Potholes,Low
2610,Request rainwater harvesting system for Lasudia colony,Water Issues,Low
2611,Suggest smart street lighting for AB Road main road Please resolve urgently.,Street Lights,Low
2612,Drain blocked water stagnating mosquitoes breeding Regal Square Kindly look into this matter.,Sanitation,Medium
2613,Dustbin overflowing garbage spilling on road at AB Road This has been ignored for long.,Sanitation,Medium
2614,Request additional dustbin near Sukhliya bus stop Please resolve urgently.,Sanitation,Low
